"SubscriptionName";"SubscriptionId";"TotalNonCompliant";"NoTags";"MissingRequiredTags";"AffectedRGCount";"AffectedRGs";"AffectedResTypes";"AuditDate"
"pf-dmp-dev";"6e48fce0-a84a-4f65-b020-7c16e5a28768";"31";"1";"30";"8";"ME_test-aca-env_rg-pf-dmp-sandbox-app-001_westeurope | NetworkWatcherRG | rg-pf-dmp-sandbox-app-001 | rg-pf-dmp-sandbox-backup-001 | rg-pf-dmp-sandbox-data-001 | rg-pf-dmp-sandbox-network-001 | rg-pf-dmp-sandbox-vwan-test-001 | vnet-test";"Microsoft.App/containerApps | Microsoft.App/managedEnvironments | Microsoft.App/managedEnvironments/certificates | Microsoft.DataProtection/BackupVaults | Microsoft.Network/ipGroups | Microsoft.Network/loadBalancers | Microsoft.Network/networkSecurityGroups | Microsoft.Network/networkWatchers | Microsoft.Network/privateDnsZones | Microsoft.Network/privateDnsZones/virtualNetworkLinks | Microsoft.Network/routeTables | Microsoft.Network/virtualHubs | Microsoft.Network/virtualNetworks | Microsoft.Network/virtualWans | Microsoft.OperationalInsights/workspaces | Microsoft.RecoveryServices/vaults | Microsoft.Storage/storageAccounts";"2026-04-03 10:04:59"
"pf-dmp-prd";"b6378144-1a63-4fd6-a654-5f1c3c424555";"59";"0";"59";"12";"AzureBackupRG_westeurope_1 | MC_rg-pf-dmp-sandbox2-aks-001_aks-pf-tst-x2-TestAKS | NetworkWatcherRG | networkwatcherrg | rg-pf-dmp-sandbox2-aca-001 | rg-pf-dmp-sandbox2-aca-001_aca-managed | rg-pf-dmp-sandbox2-aks-001 | rg-pf-dmp-sandbox2-app-001 | RG-PF-DMP-SANDBOX2-APP-001 | rg-pf-dmp-sandbox2-backup-001 | rg-pf-dmp-sandbox2-data-001 | rg-pf-dmp-sandbox2-network-001";"Microsoft.App/containerApps | Microsoft.App/managedEnvironments | Microsoft.Compute/disks | Microsoft.Compute/restorePointCollections | Microsoft.Compute/virtualMachines | Microsoft.Compute/virtualMachines/extensions | Microsoft.Compute/virtualMachineScaleSets | Microsoft.ContainerService/managedClusters | Microsoft.DataProtection/BackupVaults | Microsoft.DBforPostgreSQL/flexibleServers | Microsoft.KeyVault/vaults | Microsoft.ManagedIdentity/userAssignedIdentities | Microsoft.Network/ipGroups | Microsoft.Network/loadBalancers | Microsoft.Network/networkInterfaces | Microsoft.Network/networkSecurityGroups | Microsoft.Network/networkWatchers | Microsoft.Network/networkWatchers/flowLogs | Microsoft.Network/privateDnsZones | Microsoft.Network/privateDnsZones/virtualNetworkLinks | Microsoft.Network/privateEndpoints | Microsoft.Network/publicIPAddresses | Microsoft.Network/routeTables | Microsoft.Network/virtualNetworks | Microsoft.RecoveryServices/vaults | Microsoft.Storage/storageAccounts | Microsoft.Web/serverFarms | Microsoft.Web/sites";"2026-04-03 10:05:00"
"pf-dmp-sandbox";"5a2d34f2-f6cd-401d-b6e8-62115ad56e2c";"646";"1";"645";"19";"AzureBackupRG_westeurope_1 | DefaultResourceGroup-WEU | MC_rg-pf-dmp-stg_aks-pf-dmp-s-121_westeurope | MC_RG-PF-DMP-STG_AKS-PF-DMP-S-121_WESTEUROPE | mc_rg-pf-dmp-stg_aks-pf-dmp-s-121_westeurope | NetworkWatcherRG | networkwatcherrg | pfa-dcsa-p-rsg-asc | pfa-dmp1-s-rsg-backup | pfa-dmp1-s-rsg-encrypt | pfa-dmp1-s-rsg-spoke-network | rg-pf-dmp-stg | RG-PF-DMP-STG | rg-pf-dmp-stg-bck | rg-pf-dmp-stg-data-aks-001 | rg-pf-dmp-stg-datamonitoring-001 | rg-pf-dmp-stg-dataportal | rg-pf-dmp-stg-functions-001 | rg-pf-dmp-stg-monitoring-web-sites";"microsoft.alertsmanagement/smartDetectorAlertRules | Microsoft.CognitiveServices/accounts | Microsoft.Compute/diskEncryptionSets | Microsoft.Compute/disks | Microsoft.Compute/restorePointCollections | Microsoft.Compute/snapshots | Microsoft.Compute/sshPublicKeys | Microsoft.Compute/virtualMachines | Microsoft.Compute/virtualMachines/extensions | microsoft.compute/virtualMachines/extensions | Microsoft.Compute/virtualMachineScaleSets | Microsoft.ContainerRegistry/registries | Microsoft.ContainerRegistry/registries/replications | Microsoft.ContainerService/managedClusters | Microsoft.DataFactory/factories | Microsoft.DBforPostgreSQL/flexibleServers | Microsoft.DBforPostgreSQL/serverGroupsv2 | Microsoft.DevTestLab/schedules | Microsoft.DocumentDB/databaseAccounts | Microsoft.EventGrid/systemTopics | microsoft.insights/actiongroups | microsoft.insights/activityLogAlerts | microsoft.insights/components | Microsoft.Insights/dataCollectionRules | microsoft.insights/metricalerts | Microsoft.KeyVault/vaults | Microsoft.ManagedIdentity/userAssignedIdentities | Microsoft.Network/ipGroups | Microsoft.Network/loadBalancers | Microsoft.Network/networkInterfaces | Microsoft.Network/networkSecurityGroups | Microsoft.Network/networkWatchers | Microsoft.Network/networkWatchers/flowLogs | Microsoft.Network/privateDnsZones | Microsoft.Network/privateDnsZones/virtualNetworkLinks | Microsoft.Network/privateEndpoints | Microsoft.Network/publicIPAddresses | Microsoft.Network/routeTables | Microsoft.Network/virtualNetworks | Microsoft.OperationalInsights/workspaces | Microsoft.RecoveryServices/vaults | Microsoft.Security/automations | Microsoft.Sql/servers | Microsoft.Sql/servers/databases | Microsoft.Storage/storageAccounts | Microsoft.Web/certificates | Microsoft.Web/serverFarms | Microsoft.Web/sites";"2026-04-03 10:05:00"
"pf-dmp-stg";"feb562f1-c7cd-4b53-9e1b-ad4a3eafcf62";"3";"0";"3";"2";"cloud-shell-storage-westeurope | rg-pf-dt-management-report";"microsoft.insights/workbooks | Microsoft.Storage/storageAccounts";"2026-04-03 10:05:01"
"pf-dt-backup";"c56af48b-8b52-4a02-a3e1-6c509322e97c";"14";"0";"14";"4";"NetworkWatcherRG | networkwatcherrg | pfa-efm1-d-rsg-spoke-network | rg-pf-efm-dev";"Microsoft.DocumentDb/databaseAccounts | microsoft.insights/actiongroups | Microsoft.Network/ipGroups | Microsoft.Network/networkInterfaces | Microsoft.Network/networkSecurityGroups | Microsoft.Network/networkWatchers | Microsoft.Network/networkWatchers/flowLogs | Microsoft.Network/privateEndpoints | Microsoft.Network/routeTables | Microsoft.Network/virtualNetworks";"2026-04-03 10:05:02"
"pf-dt-management";"2f72d83e-406d-42b4-9ee2-6e39fd9a888e";"19";"0";"19";"4";"NetworkWatcherRG | networkwatcherrg | pfa-efm1-s-rsg-spoke-network | rg-pf-efm-stg";"Microsoft.DocumentDb/databaseAccounts | microsoft.insights/actiongroups | microsoft.insights/metricalerts | Microsoft.Network/ipGroups | Microsoft.Network/networkInterfaces | Microsoft.Network/networkSecurityGroups | Microsoft.Network/networkWatchers | Microsoft.Network/networkWatchers/flowLogs | Microsoft.Network/privateEndpoints | Microsoft.Network/routeTables | Microsoft.Network/virtualNetworks | Microsoft.ServiceBus/namespaces";"2026-04-03 10:05:02"
"pf-efm-stg";"57564d5e-c1a2-4f03-998f-d0812cb2f216";"19";"0";"19";"6";"NetworkWatcherRG | networkwatcherrg | rg-pf-era-dev-backup-001 | rg-pf-era-dev-data-001 | rg-pf-era-dev-era-001 | rg-pf-era-dev-network-001";"Microsoft.DataProtection/BackupVaults | Microsoft.Network/ipGroups | Microsoft.Network/networkInterfaces | Microsoft.Network/networkSecurityGroups | Microsoft.Network/networkWatchers | Microsoft.Network/networkWatchers/flowLogs | Microsoft.Network/privateEndpoints | Microsoft.Network/routeTables | Microsoft.Network/virtualNetworks | Microsoft.RecoveryServices/vaults | Microsoft.Storage/storageAccounts | Microsoft.Web/serverFarms | Microsoft.Web/sites";"2026-04-03 10:05:04"
"pf-epc-dev";"3f1d5c0e-a268-4bd2-b770-45abb307ec6d";"19";"0";"19";"6";"NetworkWatcherRG | networkwatcherrg | rg-pf-era-prd-backup-001 | rg-pf-era-prd-data-001 | rg-pf-era-prd-era-001 | rg-pf-era-prd-network-001";"Microsoft.DataProtection/BackupVaults | Microsoft.Network/ipGroups | Microsoft.Network/networkInterfaces | Microsoft.Network/networkSecurityGroups | Microsoft.Network/networkWatchers | Microsoft.Network/networkWatchers/flowLogs | Microsoft.Network/privateEndpoints | Microsoft.Network/routeTables | Microsoft.Network/virtualNetworks | Microsoft.RecoveryServices/vaults | Microsoft.Storage/storageAccounts | Microsoft.Web/serverFarms | Microsoft.Web/sites";"2026-04-03 10:05:04"
"pf-epc-prd";"5dae03f6-5b0f-430f-9c28-9aa3aa7de842";"19";"0";"19";"6";"NetworkWatcherRG | networkwatcherrg | rg-pf-era-stg-backup-001 | rg-pf-era-stg-data-001 | rg-pf-era-stg-era-001 | rg-pf-era-stg-network-001";"Microsoft.DataProtection/BackupVaults | Microsoft.Network/ipGroups | Microsoft.Network/networkInterfaces | Microsoft.Network/networkSecurityGroups | Microsoft.Network/networkWatchers | Microsoft.Network/networkWatchers/flowLogs | Microsoft.Network/privateEndpoints | Microsoft.Network/routeTables | Microsoft.Network/virtualNetworks | Microsoft.RecoveryServices/vaults | Microsoft.Storage/storageAccounts | Microsoft.Web/serverFarms | Microsoft.Web/sites";"2026-04-03 10:05:05"
"pf-era-dev";"cdc66231-3fb8-45f4-96d2-e5f1e85b57c2";"12";"0";"12";"4";"NetworkWatcherRG | networkwatcherrg | rg-pf-ext-akg-dev-akg-genius-dev-001 | rg-pf-ext-akg-dev-network-akg-genius-dev-001";"Microsoft.Network/ipGroups | Microsoft.Network/networkInterfaces | Microsoft.Network/networkSecurityGroups | Microsoft.Network/networkWatchers | Microsoft.Network/networkWatchers/flowLogs | Microsoft.Network/privateEndpoints | Microsoft.Network/routeTables | Microsoft.Network/virtualNetworks | Microsoft.Web/serverFarms | Microsoft.Web/sites";"2026-04-03 10:05:05"
"pf-era-prd";"e88909b8-668b-488b-a6f9-94ac599a8894";"12";"0";"12";"4";"NetworkWatcherRG | networkwatcherrg | rg-pf-ext-akg-dev-akg-genius-dev-001 | rg-pf-ext-akg-dev-network-akg-genius-dev-001";"Microsoft.Network/ipGroups | Microsoft.Network/networkInterfaces | Microsoft.Network/networkSecurityGroups | Microsoft.Network/networkWatchers | Microsoft.Network/networkWatchers/flowLogs | Microsoft.Network/privateEndpoints | Microsoft.Network/routeTables | Microsoft.Network/virtualNetworks | Microsoft.Web/serverFarms | Microsoft.Web/sites";"2026-04-03 10:05:06"
"pf-era-stg";"22a09ad9-4906-4ed9-8137-7be5d235a1f5";"12";"0";"12";"4";"NetworkWatcherRG | networkwatcherrg | rg-pf-ext-akg-stg-akg-genius-stg-001 | rg-pf-ext-akg-stg-network-akg-genius-stg-001";"Microsoft.Network/ipGroups | Microsoft.Network/networkInterfaces | Microsoft.Network/networkSecurityGroups | Microsoft.Network/networkWatchers | Microsoft.Network/networkWatchers/flowLogs | Microsoft.Network/privateEndpoints | Microsoft.Network/routeTables | Microsoft.Network/virtualNetworks | Microsoft.Web/serverFarms | Microsoft.Web/sites";"2026-04-03 10:05:06"
"pf-ext-akg-dev";"d3d39366-870d-4083-b23e-a8a3ac15b8cf";"12";"0";"12";"4";"NetworkWatcherRG | networkwatcherrg | rg-pf-ext-akg-stg-akg-genius-stg-001 | rg-pf-ext-akg-stg-network-akg-genius-stg-001";"Microsoft.Network/ipGroups | Microsoft.Network/networkInterfaces | Microsoft.Network/networkSecurityGroups | Microsoft.Network/networkWatchers | Microsoft.Network/networkWatchers/flowLogs | Microsoft.Network/privateEndpoints | Microsoft.Network/routeTables | Microsoft.Network/virtualNetworks | Microsoft.Web/serverFarms | Microsoft.Web/sites";"2026-04-03 10:05:07"
"pf-ext-akg-prd";"47e00959-65c8-474b-a174-f59b1a2dfc48";"12";"0";"12";"5";"NetworkWatcherRG | networkwatcherrg | rg-pf-ext-ftp-dev-backup-sftp-dev-001 | rg-pf-ext-ftp-dev-network-sftp-dev-001 | rg-pf-ext-ftp-dev-sftp-dev-001";"Microsoft.DataProtection/BackupVaults | Microsoft.EventGrid/systemTopics | Microsoft.Network/ipGroups | Microsoft.Network/networkInterfaces | Microsoft.Network/networkSecurityGroups | Microsoft.Network/networkWatchers | Microsoft.Network/networkWatchers/flowLogs | Microsoft.Network/privateEndpoints | Microsoft.Network/routeTables | Microsoft.Network/virtualNetworks | Microsoft.RecoveryServices/vaults | Microsoft.Storage/storageAccounts";"2026-04-03 10:05:08"
"pf-ext-akg-stg";"65eaf973-a7d7-42d4-9a6d-c27777902513";"12";"0";"12";"5";"NetworkWatcherRG | networkwatcherrg | rg-pf-ext-ftp-stg-backup-sftp-stg-001 | rg-pf-ext-ftp-stg-network-sftp-stg-001 | rg-pf-ext-ftp-stg-sftp-stg-001";"Microsoft.DataProtection/BackupVaults | Microsoft.EventGrid/systemTopics | Microsoft.Network/ipGroups | Microsoft.Network/networkInterfaces | Microsoft.Network/networkSecurityGroups | Microsoft.Network/networkWatchers | Microsoft.Network/networkWatchers/flowLogs | Microsoft.Network/privateEndpoints | Microsoft.Network/routeTables | Microsoft.Network/virtualNetworks | Microsoft.RecoveryServices/vaults | Microsoft.Storage/storageAccounts";"2026-04-03 10:05:08"
"pf-ext-ftp-dev";"92fef1f6-0d7b-4d6c-a893-80e118f58faa";"8";"0";"8";"2";"rg-pf-i2a-dev | rg-pf-i2a-prd";"Microsoft.Automation/automationAccounts | Microsoft.Automation/automationAccounts/runbooks";"2026-04-03 10:05:09"
"pf-ext-ftp-prd";"d537daf0-add8-4d01-9945-5ce010c106ea";"12";"0";"12";"5";"NetworkWatcherRG | networkwatcherrg | rg-pf-ext-ftp-stg-backup-sftp-stg-001 | rg-pf-ext-ftp-stg-network-sftp-stg-001 | rg-pf-ext-ftp-stg-sftp-stg-001";"Microsoft.DataProtection/BackupVaults | Microsoft.EventGrid/systemTopics | Microsoft.Network/ipGroups | Microsoft.Network/networkInterfaces | Microsoft.Network/networkSecurityGroups | Microsoft.Network/networkWatchers | Microsoft.Network/networkWatchers/flowLogs | Microsoft.Network/privateEndpoints | Microsoft.Network/routeTables | Microsoft.Network/virtualNetworks | Microsoft.RecoveryServices/vaults | Microsoft.Storage/storageAccounts";"2026-04-03 10:05:08"
"pf-ext-ftp-stg";"5777093a-cc18-4d0c-bf7f-1d5eef8ce975";"39";"0";"39";"4";"NetworkWatcherRG | rg-pf-ext-log-prd | rg-pf-ext-log-prd-data | rg-pf-ext-log-prd-network";"Microsoft.EventHub/namespaces | microsoft.insights/actiongroups | microsoft.insights/metricalerts | microsoft.insights/workbooks | Microsoft.Network/networkInterfaces | Microsoft.Network/networkSecurityGroups | Microsoft.Network/networkWatchers | microsoft.network/networkWatchers/flowLogs | Microsoft.Network/privateDnsZones | Microsoft.Network/privateDnsZones/virtualNetworkLinks | Microsoft.Network/privateEndpoints | Microsoft.Network/routeTables | Microsoft.Network/virtualNetworks | Microsoft.Storage/storageAccounts";"2026-04-03 10:05:09"
"pf-ext-log-prd";"4dec9a5b-95ba-4e47-afbe-c9397dc312f8";"8";"0";"8";"3";"NetworkWatcherRG | networkwatcherrg | rg-pf-ext-pge-stg-network-001";"Microsoft.Network/ipGroups | Microsoft.Network/networkSecurityGroups | Microsoft.Network/networkWatchers | Microsoft.Network/networkWatchers/flowLogs | Microsoft.Network/routeTables | Microsoft.Network/virtualNetworks";"2026-04-03 10:05:11"
"pf-ext-pge-prd";"4aa418bc-27fe-4804-a581-8a6c910a79c0";"28";"0";"28";"7";"NetworkWatcherRG | rg-pf-hds-dc-store-prd-antares-001 | rg-pf-hds-dc-store-prd-atara-001 | rg-pf-hds-dc-store-prd-hdsdata-001 | rg-pf-hds-dc-store-prd-keyvault | rg-pf-hds-dc-store-prd-network | rg-pf-hds-dc-store-sync-storage";"Microsoft.KeyVault/vaults | Microsoft.Network/ipGroups | Microsoft.Network/networkInterfaces | Microsoft.Network/networkSecurityGroups | Microsoft.Network/networkWatchers | microsoft.network/networkWatchers/flowLogs | Microsoft.Network/privateEndpoints | Microsoft.Network/routeTables | Microsoft.Network/virtualNetworks | Microsoft.RecoveryServices/vaults | Microsoft.Storage/storageAccounts | Microsoft.StorageSync/storageSyncServices";"2026-04-03 10:05:11"
"pf-ext-pge-stg";"03d898e4-3366-4ed9-918f-29af91c0f12f";"28";"0";"28";"7";"NetworkWatcherRG | rg-pf-hds-dc-store-prd-antares-001 | rg-pf-hds-dc-store-prd-atara-001 | rg-pf-hds-dc-store-prd-hdsdata-001 | rg-pf-hds-dc-store-prd-keyvault | rg-pf-hds-dc-store-prd-network | rg-pf-hds-dc-store-sync-storage";"Microsoft.KeyVault/vaults | Microsoft.Network/ipGroups | Microsoft.Network/networkInterfaces | Microsoft.Network/networkSecurityGroups | Microsoft.Network/networkWatchers | microsoft.network/networkWatchers/flowLogs | Microsoft.Network/privateEndpoints | Microsoft.Network/routeTables | Microsoft.Network/virtualNetworks | Microsoft.RecoveryServices/vaults | Microsoft.Storage/storageAccounts | Microsoft.StorageSync/storageSyncServices";"2026-04-03 10:05:11"
"pf-ext-snoatos-poc";"b984a8bd-248b-4730-ae82-c3d8e845e9e6";"18";"0";"18";"5";"NetworkWatcherRG | rg-pf-hds-dc-store-atara-001 | rg-pf-hds-dc-store-hdsdata-001 | rg-pf-hds-dc-store-network | rg-pf-hds-dc-store-sync-storage";"Microsoft.Network/ipGroups | Microsoft.Network/networkInterfaces | Microsoft.Network/networkSecurityGroups | Microsoft.Network/networkWatchers | microsoft.network/networkWatchers/flowLogs | Microsoft.Network/privateEndpoints | Microsoft.Network/routeTables | Microsoft.Network/virtualNetworks | Microsoft.RecoveryServices/vaults | Microsoft.Storage/storageAccounts | Microsoft.StorageSync/storageSyncServices";"2026-04-03 10:05:12"
"pf-hds-dc-store-prd";"ff94f946-ff2b-4a19-b8d9-25a72beca095";"201";"0";"201";"7";"azurebackuprg_francecentral_1 | NetworkWatcherRG | rg-pf-hds-sas-dev-backup-001 | rg-pf-hds-sas-dev-compute-001 | RG-PF-HDS-SAS-DEV-COMPUTE-001 | rg-pf-hds-sas-dev-data-001 | rg-pf-hds-sas-dev-network-001";"Microsoft.Compute/availabilitySets | Microsoft.Compute/disks | Microsoft.Compute/restorePointCollections | Microsoft.Compute/snapshots | Microsoft.Compute/virtualMachines | microsoft.compute/virtualMachines/extensions | Microsoft.Compute/virtualMachines/extensions | Microsoft.DataProtection/BackupVaults | Microsoft.KeyVault/vaults | Microsoft.Network/ipGroups | Microsoft.Network/networkInterfaces | Microsoft.Network/networkSecurityGroups | Microsoft.Network/networkWatchers | microsoft.network/networkWatchers/flowLogs | Microsoft.Network/privateEndpoints | Microsoft.Network/routeTables | Microsoft.Network/virtualNetworks | Microsoft.RecoveryServices/vaults | Microsoft.Storage/storageAccounts";"2026-04-03 10:05:12"
"pf-hds-dc-store-stg";"55b70630-3f1c-413e-89bb-05bb655bd685";"239";"0";"239";"7";"azurebackuprg_francecentral_1 | NetworkWatcherRG | rg-pf-hds-sas-prd-backup-001 | rg-pf-hds-sas-prd-compute-001 | RG-PF-HDS-SAS-PRD-COMPUTE-001 | rg-pf-hds-sas-prd-data-001 | rg-pf-hds-sas-prd-network-001";"Microsoft.Compute/availabilitySets | Microsoft.Compute/disks | Microsoft.Compute/restorePointCollections | Microsoft.Compute/snapshots | Microsoft.Compute/virtualMachines | microsoft.compute/virtualMachines/extensions | Microsoft.Compute/virtualMachines/extensions | Microsoft.DataProtection/BackupVaults | Microsoft.Insights/dataCollectionEndpoints | Microsoft.KeyVault/vaults | Microsoft.Network/ipGroups | Microsoft.Network/networkInterfaces | Microsoft.Network/networkSecurityGroups | Microsoft.Network/networkWatchers | microsoft.network/networkWatchers/flowLogs | Microsoft.Network/privateEndpoints | Microsoft.Network/routeTables | Microsoft.Network/virtualNetworks | Microsoft.RecoveryServices/vaults | Microsoft.Storage/storageAccounts";"2026-04-03 10:05:13"
"pf-hds-hpc-poc";"ac95d7b5-13c7-4692-8d1d-7f6d90b41399";"201";"0";"201";"7";"azurebackuprg_francecentral_1 | NetworkWatcherRG | rg-pf-hds-sas-dev-backup-001 | rg-pf-hds-sas-dev-compute-001 | RG-PF-HDS-SAS-DEV-COMPUTE-001 | rg-pf-hds-sas-dev-data-001 | rg-pf-hds-sas-dev-network-001";"Microsoft.Compute/availabilitySets | Microsoft.Compute/disks | Microsoft.Compute/restorePointCollections | Microsoft.Compute/snapshots | Microsoft.Compute/virtualMachines | microsoft.compute/virtualMachines/extensions | Microsoft.Compute/virtualMachines/extensions | Microsoft.DataProtection/BackupVaults | Microsoft.KeyVault/vaults | Microsoft.Network/ipGroups | Microsoft.Network/networkInterfaces | Microsoft.Network/networkSecurityGroups | Microsoft.Network/networkWatchers | microsoft.network/networkWatchers/flowLogs | Microsoft.Network/privateEndpoints | Microsoft.Network/routeTables | Microsoft.Network/virtualNetworks | Microsoft.RecoveryServices/vaults | Microsoft.Storage/storageAccounts";"2026-04-03 10:05:13"
"pf-hds-sas-dev";"5d8c447a-1830-4603-be58-d6aab95700ec";"153";"0";"153";"8";"azurebackuprg_francecentral_1 | NetworkWatcherRG | rg-pf-hds-sas-sandbox-backup-001 | RG-PF-HDS-SAS-SANDBOX-BACKUP-001 | rg-pf-hds-sas-sandbox-compute-001 | RG-PF-HDS-SAS-SANDBOX-COMPUTE-001 | rg-pf-hds-sas-sandbox-data-001 | rg-pf-hds-sas-sandbox-network-001";"Microsoft.Compute/disks | Microsoft.Compute/restorePointCollections | Microsoft.Compute/snapshots | Microsoft.Compute/virtualMachines | microsoft.compute/virtualMachines/extensions | Microsoft.Compute/virtualMachines/extensions | Microsoft.DataProtection/BackupVaults | Microsoft.EventGrid/systemTopics | Microsoft.Insights/dataCollectionEndpoints | Microsoft.KeyVault/vaults | Microsoft.Network/loadBalancers | Microsoft.Network/networkInterfaces | Microsoft.Network/networkSecurityGroups | Microsoft.Network/networkWatchers | microsoft.network/networkWatchers/flowLogs | Microsoft.Network/privateEndpoints | Microsoft.Network/publicIPAddresses | Microsoft.Network/routeTables | Microsoft.Network/virtualNetworks | Microsoft.OperationalInsights/workspaces | Microsoft.RecoveryServices/vaults | Microsoft.Storage/storageAccounts";"2026-04-03 10:05:14"
"pf-hds-sas-prd";"bce7347a-f4df-4df7-bea7-56ec4e1148c9";"98";"0";"98";"18";"AzureBackupRG_westeurope_1 | Default-EventGrid | NetworkWatcherRG | networkwatcherrg | pfa-dcsa-p-rsg-asc | pfa-hlo1-p-rsg-backup | pfa-hlo1-p-rsg-encrypt | pfa-hlo1-p-rsg-spoke-network | PFA-HLO1-P-RSG-SPOKE-NETWORK | rg-pf-hlo-prd | RG-PF-HLO-PRD | rg-pf-hlo-prd-backup-hlo-prd-001 | rg-pf-hlo-prd-bck | RG-PF-HLO-PRD-CLONE | rg-pf-hlo-prd-clone | rg-pf-hlo-prd-data-hlo-prd-001 | rg-pf-hlo-prd-network-hlo-prd-001 | testrestaurationvm";"Microsoft.Compute/diskEncryptionSets | Microsoft.Compute/disks | Microsoft.Compute/restorePointCollections | Microsoft.Compute/snapshots | Microsoft.Compute/virtualMachines | Microsoft.Compute/virtualMachines/extensions | Microsoft.DataProtection/BackupVaults | Microsoft.DevTestLab/schedules | Microsoft.EventGrid/systemTopics | microsoft.insights/activityLogAlerts | Microsoft.KeyVault/vaults | Microsoft.ManagedIdentity/userAssignedIdentities | Microsoft.Network/ipGroups | Microsoft.Network/networkInterfaces | Microsoft.Network/networkSecurityGroups | Microsoft.Network/networkWatchers | Microsoft.Network/networkWatchers/flowLogs | Microsoft.Network/privateEndpoints | Microsoft.Network/routeTables | Microsoft.Network/virtualNetworks | Microsoft.RecoveryServices/vaults | Microsoft.Security/automations | Microsoft.Storage/storageAccounts";"2026-04-03 10:05:14"
"pf-hds-sas-sandbox";"513ad47c-251f-4a6c-8c8d-0e6cd964883c";"98";"0";"98";"18";"AzureBackupRG_westeurope_1 | Default-EventGrid | networkwatcherrg | NetworkWatcherRG | pfa-dcsa-p-rsg-asc | pfa-hlo1-p-rsg-backup | pfa-hlo1-p-rsg-encrypt | PFA-HLO1-P-RSG-SPOKE-NETWORK | pfa-hlo1-p-rsg-spoke-network | rg-pf-hlo-prd | RG-PF-HLO-PRD | rg-pf-hlo-prd-backup-hlo-prd-001 | rg-pf-hlo-prd-bck | rg-pf-hlo-prd-clone | RG-PF-HLO-PRD-CLONE | rg-pf-hlo-prd-data-hlo-prd-001 | rg-pf-hlo-prd-network-hlo-prd-001 | testrestaurationvm";"Microsoft.Compute/diskEncryptionSets | Microsoft.Compute/disks | Microsoft.Compute/restorePointCollections | Microsoft.Compute/snapshots | Microsoft.Compute/virtualMachines | Microsoft.Compute/virtualMachines/extensions | Microsoft.DataProtection/BackupVaults | Microsoft.DevTestLab/schedules | Microsoft.EventGrid/systemTopics | microsoft.insights/activityLogAlerts | Microsoft.KeyVault/vaults | Microsoft.ManagedIdentity/userAssignedIdentities | Microsoft.Network/ipGroups | Microsoft.Network/networkInterfaces | Microsoft.Network/networkSecurityGroups | Microsoft.Network/networkWatchers | Microsoft.Network/networkWatchers/flowLogs | Microsoft.Network/privateEndpoints | Microsoft.Network/routeTables | Microsoft.Network/virtualNetworks | Microsoft.RecoveryServices/vaults | Microsoft.Security/automations | Microsoft.Storage/storageAccounts";"2026-04-03 10:05:15"
